codmun,ano,is_top_100,regiao
110001,2007,0,Norte
110001,2010,0,Norte
110002,2007,0,Norte
110002,2010,0,Norte
110003,2007,0,Norte
110003,2010,0,Norte
110004,2007,0,Norte
110004,2010,0,Norte
110005,2007,0,Norte
110005,2010,0,Norte
110006,2007,0,Norte
110006,2010,0,Norte
110007,2007,0,Norte
110007,2010,0,Norte
110008,2007,0,Norte
110008,2010,0,Norte
110009,2007,0,Norte
110009,2010,0,Norte
110010,2007,0,Norte
110010,2010,0,Norte
110011,2007,0,Norte
110011,2010,0,Norte
110012,2007,0,Norte
110012,2010,0,Norte
110013,2007,0,Norte
110013,2010,0,Norte
110014,2007,0,Norte
110014,2010,0,Norte
110015,2007,0,Norte
110015,2010,0,Norte
110018,2007,0,Norte
110018,2010,0,Norte
110020,2007,1,Norte
110020,2010,1,Norte
110026,2007,0,Norte
110026,2010,0,Norte
110028,2007,0,Norte
110028,2010,0,Norte
110029,2007,0,Norte
110029,2010,0,Norte
110030,2007,0,Norte
110030,2010,0,Norte
110032,2007,0,Norte
110032,2010,0,Norte
110033,2007,0,Norte
110033,2010,0,Norte
110034,2007,0,Norte
110034,2010,0,Norte
110037,2007,0,Norte
110037,2010,0,Norte
110050,2007,0,Norte
110050,2010,0,Norte
110060,2007,0,Norte
110060,2010,0,Norte
110070,2007,0,Norte
110070,2010,0,Norte
110080,2007,0,Norte
110080,2010,0,Norte
110090,2007,0,Norte
110090,2010,0,Norte
110092,2007,0,Norte
110092,2010,0,Norte
110094,2007,0,Norte
110094,2010,0,Norte
110100,2007,0,Norte
110100,2010,0,Norte
110110,2007,0,Norte
110110,2010,0,Norte
110120,2007,0,Norte
110120,2010,0,Norte
110130,2007,0,Norte
110130,2010,0,Norte
110140,2007,0,Norte
110140,2010,0,Norte
110145,2007,0,Norte
110145,2010,0,Norte
110146,2007,0,Norte
110146,2010,0,Norte
110147,2007,0,Norte
110147,2010,0,Norte
110148,2007,0,Norte
110148,2010,0,Norte
110149,2007,0,Norte
110149,2010,0,Norte
110150,2007,0,Norte
110150,2010,0,Norte
110155,2007,0,Norte
110155,2010,0,Norte
110160,2007,0,Norte
110160,2010,0,Norte
110170,2007,0,Norte
110170,2010,0,Norte
110175,2007,0,Norte
110175,2010,0,Norte
110180,2007,0,Norte
110180,2010,0,Norte
120001,2007,0,Norte
120001,2010,0,Norte
120005,2007,0,Norte
120005,2010,0,Norte
120010,2007,0,Norte
120010,2010,0,Norte
120013,2007,0,Norte
120013,2010,0,Norte
120017,2007,0,Norte
120017,2010,0,Norte
120025,2007,0,Norte
120025,2010,0,Norte
120030,2007,0,Norte
120030,2010,0,Norte
120032,2007,0,Norte
120032,2010,0,Norte
120033,2007,0,Norte
120033,2010,0,Norte
120034,2007,0,Norte
120034,2010,0,Norte
120035,2007,0,Norte
120035,2010,0,Norte
120038,2007,0,Norte
120038,2010,0,Norte
120039,2007,0,Norte
120039,2010,0,Norte
120042,2007,0,Norte
120042,2010,0,Norte
120043,2007,0,Norte
120043,2010,0,Norte
120045,2007,0,Norte
120045,2010,0,Norte
120050,2007,0,Norte
120050,2010,0,Norte
120060,2007,0,Norte
120060,2010,0,Norte
120070,2007,0,Norte
120070,2010,0,Norte
120080,2007,0,Norte
120080,2010,0,Norte
130002,2007,0,Norte
130002,2010,0,Norte
130006,2007,0,Norte
130006,2010,0,Norte
130008,2007,0,Norte
130008,2010,0,Norte
130010,2007,0,Norte
130010,2010,0,Norte
130014,2007,0,Norte
130014,2010,0,Norte
130020,2007,0,Norte
130020,2010,0,Norte
130030,2007,0,Norte
130030,2010,0,Norte
